Host,products,n_bgc
Alfalfa,NRPS-like;T1PKS,15
Rice,thiopeptide;thioamitides,15
Maize,oligosaccharide,15
Rice,lanthipeptide-class-iv,15
Alfalfa,acyl_amino_acids;RiPP-like,14
Maize,phosphonate,14
Rice,cyanobactin,14
Wheat,NRPS;NRPS-like,13
Wheat,thiopeptide,13
Maize,T1PKS;NRPS-like,13
Rice,lassopeptide;RRE-containing,13
Alfalfa,phenazine,13
Alfalfa,thiopeptide,13
Rice,cyclic-lactone-autoinducer,13
Alfalfa,lanthipeptide-class-iv,12
Wheat,NRPS-like;betalactone,12
Wheat,NRPS;T1PKS;NRPS-like,12
Wheat,linaridin,12
Rice,nucleoside,12
Alfalfa,hglE-KS;T1PKS,12
Maize,lanthipeptide-class-iii,12
Maize,hglE-KS;T1PKS,12
Wheat,resorcinol;arylpolyene,11
Rice,T1PKS;NRPS-like;NRPS,11
Wheat,lassopeptide;hserlactone,11
Alfalfa,thiopeptide;thioamitides,11
Maize,T1PKS;hglE-KS,11
Maize,NRPS-like;T1PKS,11
Wheat,arylpolyene;resorcinol,10
Rice,other,10
Rice,CDPS,10
Alfalfa,linaridin,10
Rice,transAT-PKS-like;NRPS,10
Rice,NRPS;RiPP-like,9
Maize,phenazine,9
Alfalfa,lanthipeptide-class-ii,9
Alfalfa,T3PKS;terpene,9
Maize,PKS-like,9
Wheat,thiopeptide;LAP,9
Alfalfa,thiopeptide;RiPP-like,9
Maize,NRPS-like;NAGGN,9
Wheat,acyl_amino_acids;hserlactone,8
Wheat,transAT-PKS;NRPS,8
Wheat,NRPS-like;NAGGN,8
Maize,CDPS,8
Wheat,lassopeptide;RRE-containing,8
Wheat,transAT-PKS,8
Wheat,oligosaccharide,8
Rice,NRPS;NRPS-like;T1PKS,8
Maize,indole,8
Rice,RiPP-like;NRPS,8
Wheat,NRPS;transAT-PKS,8
Wheat,T3PKS;terpene,8
Alfalfa,ladderane,7
Rice,RRE-containing;RiPP-like,7
Rice,linaridin,7
Rice,thioamitides;thiopeptide,7
Wheat,thiopeptide;LAP;RiPP-like,7
Wheat,thioamide-NRP,7
Rice,RRE-containing;lanthipeptide-class-v,7
Maize,NRPS-like;betalactone,7
Wheat,RRE-containing;RiPP-like,6
Wheat,NRPS-like;NRPS,6
Maize,PKS-like;NRPS-like;terpene,6
Maize,NRPS;RiPP-like,6
Rice,PKS-like,6
Alfalfa,arylpolyene;resorcinol,6
Alfalfa,indole,6
Rice,T1PKS;hglE-KS,6
Maize,terpene;siderophore,6
Maize,ranthipeptide,6
Maize,NRPS-like;NRPS;terpene,6
Maize,resorcinol;arylpolyene,6
Rice,thiopeptide;LAP,6
Rice,furan,6
Rice,RRE-containing;lassopeptide,6
Rice,NRPS-like;NAGGN,6
Maize,terpene;NRPS-like,6
Rice,hserlactone;terpene,6
Maize,melanin,6
Wheat,hserlactone;lassopeptide,5
Maize,LAP;thiopeptide,5
Wheat,acyl_amino_acids;RiPP-like,5
Maize,NRPS;betalactone,5
Maize,NRPS-like;NRPS,5
Alfalfa,NRPS-like;NAGGN,5
Wheat,NRPS-like;T1PKS;butyrolactone,5
Maize,thioamide-NRP,5
Rice,LAP;thiopeptide,5
Alfalfa,lanthipeptide-class-v,5
Wheat,CDPS,5
Rice,ranthipeptide;RiPP-like,5
Maize,proteusin,5
Alfalfa,lassopeptide;RRE-containing,5
Wheat,NRPS-like;RRE-containing,5
Maize,T1PKS;indole,5
Wheat,NRPS;betalactone,5
Alfalfa,RRE-containing;RiPP-like,5
Rice,NRPS;transAT-PKS-like,5
Rice,NRPS-like;resorcinol,5
Alfalfa,T1PKS;NRPS-like;NRPS,5
Maize,terpene;T3PKS,5
Rice,arylpolyene;ladderane,5
Wheat,RRE-containing;lassopeptide,4
Maize,NRPS;ranthipeptide;RiPP-like,4
Alfalfa,transAT-PKS-like,4
Wheat,terpene;RiPP-like,4
Alfalfa,NRPS;NRPS-like,4
Alfalfa,NRPS-like;betalactone,4
Alfalfa,CDPS,4
Wheat,NRPS;NRPS-like;T1PKS,4
Maize,NRPS-like;PKS-like;terpene,4
Maize,NAPAA;lanthipeptide-class-iv,4
Maize,T1PKS;NRPS-like;NRPS,4
Maize,T1PKS;PKS-like,4
Maize,RRE-containing;lassopeptide,4
Maize,arylpolyene;resorcinol,4
Maize,T2PKS,4
Rice,transAT-PKS;NRPS,4
Alfalfa,cyclic-lactone-autoinducer,4
Alfalfa,oligosaccharide,4
Rice,hglE-KS;T1PKS,4
Maize,linaridin,4
Maize,betalactone;NRPS-like,4
Maize,thiopeptide,4
Maize,thiopeptide;thioamitides,4
Alfalfa,T1PKS;hglE-KS,4
Rice,NRPS-like;betalactone,4
Rice,NRPS-like;RiPP-like,4
Wheat,transAT-PKS;NRPS-like;NRPS,3
Alfalfa,NAGGN;RiPP-like,3
Wheat,nucleoside,3
Wheat,lassopeptide;siderophore,3
Rice,T1PKS;NRPS;NRPS-like,3
Wheat,hglE-KS;T1PKS;lanthipeptide-class-i,3
Alfalfa,lanthipeptide-class-iii,3
Alfalfa,transAT-PKS,3
Wheat,T1PKS;PKS-like;NRPS,3
Maize,NRPS;NRPS-like,3
Wheat,RiPP-like;NRPS,3
Wheat,RRE-containing;lanthipeptide-class-iii,3
Wheat,NRPS-like;terpene,3
Maize,NRPS;ladderane;PKS-like;T1PKS,3
Wheat,NRPS-like;resorcinol,3
Maize,T1PKS;NRPS;siderophore,3
Maize,T1PKS;NRPS;indole,3
Wheat,LAP;thiopeptide;cyclic-lactone-autoinducer,3
Rice,transAT-PKS,3
Rice,NRPS-like;NRPS;T1PKS,3
Maize,hglE-KS,3
Rice,terpene;RiPP-like,3
Maize,lipolanthine;lanthipeptide-class-iii,3
Maize,lassopeptide;hserlactone,3
Maize,lanthipeptide-class-v;thioamitides,3
Maize,lanthipeptide-class-iv;NAPAA,3
Rice,lanthipeptide-class-v;RRE-containing,3
Maize,proteusin;LAP,3
Maize,other;siderophore,3
Rice,NRPS;NRPS-like;RRE-containing,3
Rice,NRPS-like;transAT-PKS,3
Alfalfa,RRE-containing;lassopeptide,3
Rice,NRPS;T1PKS;NRPS-like,2
Wheat,thioamide-NRP;NRPS,2
Wheat,terpene;NRPS-like,2
Wheat,transAT-PKS-like;butyrolactone,2
Wheat,transAT-PKS;PKS-like;T3PKS;NRPS,2
Alfalfa,cyclic-lactone-autoinducer;lassopeptide,2
Alfalfa,hglE-KS,2
Alfalfa,ladderane;RRE-containing,2
Rice,LAP;thiopeptide;RiPP-like,2
Rice,NAGGN;RiPP-like,2
Rice,RaS-RiPP,2
Rice,RiPP-like;NAGGN,2
Wheat,ladderane,2
Wheat,lanthipeptide-class-i;T1PKS;hglE-KS,2
Alfalfa,thioamide-NRP;NRPS-like,2
Wheat,butyrolactone;PKS-like,2
Wheat,butyrolactone;ectoine,2
Wheat,cyanobactin,2
Wheat,guanidinotides,2
Maize,NAGGN;NRPS-like,2
Wheat,T3PKS;RiPP-like,2
Wheat,T3PKS;T1PKS,2
Maize,terpene;lanthipeptide-class-i;T1PKS;hglE-KS,2
Wheat,amglyccycl,2
Wheat,betalactone;NRPS-like;terpene,2
Maize,NRPS;NRPS-like;T1PKS,2
Maize,NRPS;T1PKS;hserlactone,2
Wheat,T1PKS;NRPS-like;butyrolactone,2
Wheat,T1PKS;terpene;hglE-KS,2
Wheat,T2PKS;PKS-like;thiopeptide;LAP,2
Wheat,NRPS;indole,2
Wheat,PKS-like;NRPS;NRPS-like,2
Wheat,PKS-like;T1PKS,2
Wheat,RiPP-like;PKS-like,2
Wheat,RiPP-like;terpene,2
Maize,NRPS-like;T1PKS;betalactone,2
Maize,NRPS;ranthipeptide,2
Rice,ladderane;hserlactone;butyrolactone,2
Rice,lanthipeptide-class-ii;proteusin,2
Rice,betalactone;RiPP-like,2
Wheat,NRPS;RiPP-like,2
Wheat,LAP;thiopeptide,2
Wheat,NAGGN;NRPS-like,2
Wheat,NAGGN;RiPP-like,2
Maize,T1PKS;NRPS;phosphonate;NRPS-like,2
Wheat,NRPS-like;RiPP-like,2
Rice,thioamitides;RiPP-like,2
Maize,T1PKS;terpene,2
Maize,T2PKS;PKS-like;thiopeptide;LAP,2
Maize,betalactone;hserlactone,2
Rice,transAT-PKS;NRPS-like,2
Rice,NRPS-like;RRE-containing;RiPP-like,2
Rice,phosphonate;butyrolactone,2
Rice,redox-cofactor;terpene,2
Rice,NRPS-like;T1PKS;NRPS,2
Rice,NRPS-like;hserlactone,2
Rice,thioamide-NRP,2
Rice,terpene;T3PKS,2
Maize,cyanobactin,2
Maize,hglE-KS;terpene,2
Maize,hserlactone;betalactone,2
Rice,T1PKS;terpene,2
Rice,T3PKS;terpene,2
Maize,ladderane;betalactone,2
Rice,lassopeptide;siderophore,2
Rice,oligosaccharide,2
Alfalfa,NRPS;T1PKS;NRPS-like,2
Alfalfa,NRPS;betalactone,2
Alfalfa,NRPS;ranthipeptide;RiPP-like,2
Alfalfa,PpyS-KS,2
Wheat,terpene;T3PKS,2
Rice,RiPP-like;terpene,2
Wheat,terpene;butyrolactone,2
Alfalfa,NRPS-like;RRE-containing,2
Alfalfa,RiPP-like;RRE-containing,1
Alfalfa,T3PKS;betalactone,1
Alfalfa,T3PKS;arylpolyene,1
Wheat,thioamitides;RiPP-like,1
Wheat,transAT-PKS;T3PKS;PKS-like,1
Alfalfa,NRPS-like;NRPS;T1PKS,1
Alfalfa,T3PKS;acyl_amino_acids,1
Alfalfa,T1PKS;terpene,1
Alfalfa,T1PKS;NRPS-like;prodigiosin,1
Wheat,lanthipeptide-class-ii;RiPP-like,1
Rice,RiPP-like;redox-cofactor,1
Rice,RiPP-like;betalactone,1
Rice,RiPP-like;RRE-containing,1
Wheat,lassopeptide;lanthipeptide-class-ii,1
Wheat,lassopeptide;cyclic-lactone-autoinducer,1
Wheat,lanthipeptide-class-v;RiPP-like,1
Alfalfa,arylpolyene;terpene,1
Alfalfa,arylpolyene;ladderane,1
Alfalfa,arylpolyene;RiPP-like,1
Alfalfa,NRPS;RiPP-like,1
Alfalfa,RiPP-like;NAGGN,1
Alfalfa,PKS-like;amglyccycl,1
Alfalfa,PKS-like,1
Alfalfa,NRPS;other;phosphonate,1
Rice,melanin,1
Maize,lanthipeptide-class-v;LAP,1
Maize,lanthipeptide-class-iv;thiopeptide;LAP,1
Maize,lanthipeptide-class-i;T1PKS;hglE-KS,1
Rice,T3PKS;arylpolyene,1
Rice,T3PKS;RiPP-like,1
Rice,T1PKS;NRPS;hglE-KS,1
Maize,hglE-KS;T1PKS;lanthipeptide-class-i,1
Maize,furan;betalactone;ladderane;butyrolactone,1
Maize,furan,1
Rice,terpene;redox-cofactor,1
Rice,terpene;linaridin,1
Rice,terpene;butyrolactone,1
Rice,terpene;LAP;RiPP-like,1
Rice,thioamide-NRP;ladderane,1
Rice,terpene;siderophore,1
Maize,ladderane,1
Maize,indole;NRPS-like,1
Maize,hserlactone;lassopeptide,1
Rice,NRPS-like;lanthipeptide-class-v,1
Maize,other;NRPS;T1PKS,1
Maize,nucleoside,1
Rice,ladderane;butyrolactone,1
Rice,ladderane;arylpolyene;butyrolactone;hserlactone,1
Rice,ladderane;arylpolyene,1
Rice,hserlactone;ectoine,1
Rice,hserlactone;RRE-containing,1
Rice,sactipeptide,1
Rice,resorcinol;arylpolyene;betalactone,1
Rice,resorcinol;arylpolyene;NRPS,1
Rice,resorcinol;NRPS-like,1
Rice,ranthipeptide;lanthipeptide-class-ii,1
Rice,phosphonate;lanthipeptide-class-ii,1
Rice,phenazine,1
Rice,NRPS-like;RiPP-like;RRE-containing,1
Rice,NRPS-like;NRPS;RRE-containing;lassopeptide,1
Rice,acyl_amino_acids;thioamide-NRP,1
Rice,acyl_amino_acids;RiPP-like,1
Rice,acyl_amino_acids;NRPS,1
Rice,T3PKS;transAT-PKS;NRPS,1
Wheat,LAP;RiPP-like;terpene,1
Wheat,LAP;RiPP-like;NRPS,1
Wheat,LAP;NRPS,1
Maize,blactam,1
Maize,T3PKS;terpene,1
Maize,T3PKS;T1PKS,1
Maize,T2PKS;T3PKS;terpene,1
Maize,T1PKS;lanthipeptide-class-i,1
Rice,thiopeptide;ectoine,1
Rice,thiopeptide;LAP;hserlactone,1
Rice,thioamitides;betalactone,1
Wheat,NRPS-like;T1PKS;NRPS,1
Wheat,NRPS-like;NRPS;transAT-PKS,1
Wheat,NRPS-like;NRPS;T1PKS,1
Maize,T1PKS;hserlactone;NRPS-like;NRPS,1
Maize,T1PKS;T2PKS,1
Maize,T1PKS;NRPS;resorcinol,1
Maize,T1PKS;NRPS;NRPS-like,1
Maize,T1PKS;NRPS-like;butyrolactone,1
Wheat,NAPAA;microviridin,1
Wheat,LAP;thiopeptide;RiPP-like,1
Wheat,LAP;thiopeptide;NRPS,1
Wheat,NRPS;hserlactone,1
Wheat,NRPS;T1PKS;terpene,1
Wheat,NRPS;LAP;RiPP-like,1
Maize,PKS-like;T1PKS,1
Maize,NRPS;transAT-PKS;NRPS-like;PKS-like,1
Maize,NRPS;transAT-PKS-like,1
Maize,NRPS;terpene,1
Maize,NRPS;siderophore,1
Maize,terpene;NRPS;NRPS-like,1
Rice,cyclic-lactone-autoinducer;RRE-containing,1
Rice,cyclic-lactone-autoinducer;NRPS-like,1
Rice,cyclic-lactone-autoinducer;LAP;thiopeptide,1
Rice,bottromycin,1
Rice,betalactone;NRPS-like,1
Maize,ladderane;NRPS;NRPS-like,1
Rice,lassopeptide;NRPS;hserlactone,1
Rice,lassopeptide;NRPS-like,1
Rice,lassopeptide;NAGGN;RiPP-like,1
Rice,lanthipeptide-class-v;NRPS-like,1
Rice,lanthipeptide-class-iv;RiPP-like,1
Rice,ladderane;butyrolactone;hserlactone,1
Maize,NRPS;arylpolyene,1
Maize,NRPS;T1PKS;transAT-PKS,1
Maize,NRPS;T1PKS;phosphonate;NRPS-like,1
Wheat,NRPS-like;phenazine,1
Wheat,NRPS-like;butyrolactone,1
Wheat,NRPS-like;arylpolyene,1
Maize,NRPS-like;lanthipeptide-class-i,1
Maize,NRPS-like;T1PKS;butyrolactone,1
Wheat,T1PKS;NAGGN,1
Wheat,RRE-containing;LAP;RiPP-like,1
Wheat,PUFA,1
Wheat,PKS-like;butyrolactone,1
Wheat,PKS-like;T1PKS;NRPS,1
Wheat,NRPS;transAT-PKS-like,1
Wheat,NRPS;ranthipeptide;RiPP-like,1
Wheat,NRPS;lanthipeptide-class-i,1
Alfalfa,transAT-PKS-like;NRPS-like,1
Wheat,T1PKS;terpene,1
Wheat,T1PKS;oligosaccharide;hglE-KS;other,1
Wheat,T1PKS;hserlactone;NRPS-like;NRPS,1
Wheat,T1PKS;butyrolactone,1
Wheat,T1PKS;PKS-like,1
Wheat,T1PKS;NRPS;terpene,1
Wheat,T1PKS;NRPS-like;transAT-PKS-like;NRPS,1
Wheat,T1PKS;NRPS-like;betalactone,1
Maize,NRPS;NRPS-like;T2PKS,1
Maize,NRPS;NRPS-like;T1PKS;hserlactone,1
Alfalfa,thioamide-NRP,1
Alfalfa,terpene;NRPS,1
Alfalfa,ranthipeptide;lassopeptide,1
Alfalfa,ranthipeptide;LAP;RiPP-like,1
Alfalfa,proteusin;lanthipeptide-class-ii,1
Wheat,betalactone;NRPS-like,1
Wheat,T3PKS;betalactone,1
Rice,NRPS-like;redox-cofactor,1
Wheat,siderophore;NRPS;T1PKS,1
Wheat,sactipeptide,1
Wheat,resorcinol;indole,1
Wheat,resorcinol;RiPP-like,1
Wheat,resorcinol;NRPS-like,1
Wheat,proteusin;thioamitides,1
Rice,hglE-KS;butyrolactone,1
Rice,ectoine;hserlactone,1
Rice,ectoine;butyrolactone;NRPS;NRPS-like,1
Maize,thiopeptide;LAP;lanthipeptide-class-iv,1
Maize,thiopeptide;LAP;ectoine,1
Maize,thioamitides;thiopeptide,1
Maize,terpene;transAT-PKS;T1PKS,1
Maize,terpene;NRPS;T1PKS,1
Wheat,T3PKS;RiPP-like;butyrolactone,1
Wheat,T3PKS;NRPS-like,1
Maize,LAP;thiopeptide;cyclic-lactone-autoinducer,1
Maize,LAP;proteusin,1
Alfalfa,microviridin,1
Alfalfa,lassopeptide;cyclic-lactone-autoinducer,1
Alfalfa,lanthipeptide-class-iv;LAP,1
Wheat,hglE-KS;NRPS;NRPS-like;T1PKS,1
Wheat,furan;lipolanthine,1
Wheat,epipeptide,1
Wheat,cyclic-lactone-autoinducer;lanthipeptide-class-ii,1
Wheat,blactam,1
Wheat,betalactone;siderophore,1
Wheat,betalactone;T3PKS,1
Alfalfa,thiopeptide;LAP,1
Rice,NRPS;prodigiosin,1
Rice,NRPS;indole,1
Rice,NRPS;betalactone;T1PKS,1
Rice,NRPS;arylpolyene;resorcinol,1
Wheat,lanthipeptide-class-i;lassopeptide,1
Wheat,lanthipeptide-class-i;lanthipeptide-class-iv,1
Wheat,hserlactone;lassopeptide;RiPP-like,1
Rice,RRE-containing;terpene,1
Rice,RRE-containing;lassopeptide;hserlactone,1
Rice,RRE-containing;cyclic-lactone-autoinducer,1
Rice,PKS-like;butyrolactone,1
Alfalfa,NRPS-like;terpene,1
Rice,arylpolyene;lipolanthine;lanthipeptide-class-iii,1
Rice,arylpolyene;hserlactone,1
Rice,arylpolyene;RiPP-like,1
Rice,NAPAA;NRPS,1
Rice,LAP;proteusin,1
Maize,transAT-PKS;terpene,1
Rice,NRPS-like;siderophore,1
Wheat,hglE-KS;NRPS;T1PKS;NRPS-like,1
Alfalfa,hserlactone;phosphonate,1
Alfalfa,betalactone;T2PKS,1
Alfalfa,oligosaccharide;RRE-containing,1
Alfalfa,NRPS-like;T1PKS;NRPS,1
Alfalfa,NRPS-like;NRPS,1
Alfalfa,LAP;thiopeptide,1
Wheat,terpene;NRPS;NRPS-like,1
Wheat,other;NRPS;nucleoside,1
Wheat,other;NRPS-like,1
Rice,NRPS;T1PKS;thioamitides,1
Rice,NRPS;T1PKS;arylpolyene,1
Rice,NRPS;T1PKS;RiPP-like,1
Rice,NRPS;siderophore;T1PKS;lipolanthine;lanthipeptide-class-iii,1
Wheat,thiopeptide;LAP;butyrolactone,1
Wheat,thioamitides;proteusin,1
Wheat,terpene;siderophore,1
