genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score,rank_global,rank_in_host
CRBC_G2323,CRBC_G2323_2_length_1680512_cov_106.420485,hserlactone,359588,380248,369588,370248,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.074404762,99.628,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G2239,CRBC_G2239_3_length_662474_cov_77.169465,hserlactone,187338,207998,197338,197998,0,6,2,0,0,0,Rice,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium sp001556045,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G1016,CRBC_G1016_6_length_278987_cov_115.139884,hserlactone,3663,22904,13204,13828,0,4,2,0,5,0,Maize,Isolate,High-quality,99.37304075,0.940438871,94.6708,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G1337,CRBC_G1337_5_length_278894_cov_70.483668,hserlactone,3663,22904,13204,13828,0,4,2,0,5,0,Maize,Isolate,High-quality,99.37304075,0.78369906,95.4545,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0586,CRBC_G0586_2_length_1176077_cov_122.562892,hserlactone;lassopeptide,444702,469468,454702,455320,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,97.83845279,1.27149836,91.481,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0602,CRBC_G0602_1_length_611105_cov_96.719249,hserlactone,532598,553153,542598,543153,0,2,4,0,5,1,Alfalfa,Isolate,High-quality,99.81060606,0.39983165,97.8114,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Acidovorax kalamii,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0005,CRBC_G0005_11_length_228638_cov_99.960221,hserlactone;phosphonate,29191,90274,39191,39830,0,8,2,0,9,2,Alfalfa,Isolate,High-quality,99.61089494,0.012970169,99.546,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0563,CRBC_G0563_2_length_1175891_cov_158.058922,hserlactone;lassopeptide,444516,469282,454516,455134,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.783443753,90.6277,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0647,CRBC_G0647_2_length_1175891_cov_141.907768,lassopeptide;hserlactone,706609,731375,716609,719020,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.783443753,90.6277,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0421,CRBC_G0421_2_length_1181221_cov_227.877393,lassopeptide;hserlactone,706619,731385,716619,719030,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.840326574,90.3433,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G0649,CRBC_G0649_1_length_1176077_cov_138.689134,hserlactone;lassopeptide,444702,469468,454702,455320,0,4,4,0,2,0,Alfalfa,Isolate,High-quality,99.54493743,1.783443753,90.6277,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,3.0,12.0,1,1
CRBC_G1600,CRBC_G1600_3_length_596546_cov_99.076757,hserlactone,92571,113189,102571,103189,0,4,3,0,2,0,Maize,Isolate,High-quality,100.0,0.434782609,97.8261,Proteobacteria,Alphaproteobacteria,Rhizobiales_A,Rhizobiaceae_A,Phyllobacterium,Phyllobacterium sp900471815,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.9,11.9,45,4
CRBC_G2220,CRBC_G2220_1_length_4390258_cov_55.111754,hserlactone,1130207,1150849,1140207,1140849,0,4,1,0,5,0,Rice,Isolate,High-quality,99.36708861,0.0,99.3671,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.9000000000000004,11.9,45,29
CRBC_G3099,CRBC_G3099_1_length_3083295_cov_63.267053,hserlactone,2245356,2265998,2255356,2255998,0,4,1,0,5,0,Rice,Isolate,High-quality,99.36708861,0.316455696,97.7848,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,unknown,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.9000000000000004,11.9,45,29
CRBC_G3479,CRBC_G3479_17_length_115067_cov_104.920280,hserlactone,45510,66173,55510,56173,0,4,3,0,2,1,Wheat,Isolate,High-quality,100.0,0.469483568,97.6526,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Variovorax beijingensis,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.9,11.9,45,7
CRBC_G3712,CRBC_G3712_19_length_115067_cov_19.524741,hserlactone,48894,69557,58894,59557,0,4,3,0,2,1,Wheat,Isolate,High-quality,100.0,0.469483568,97.6526,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Variovorax beijingensis,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.9,11.9,45,7
CRBC_G3993,CRBC_G3993_18_length_115067_cov_93.625324,hserlactone,45510,66173,55510,56173,0,4,3,0,2,1,Wheat,Isolate,High-quality,100.0,0.469483568,97.6526,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Variovorax beijingensis,Rhizoplane and endosphere,1,3.0,3.0,3.0,2.9,11.9,45,7
