genome_id,record_id,products,start,end,core_start,core_end,knowncluster_hits,func_transport,func_regulatory,func_biosynthetic,func_biosynthetic_additional,func_other,Host,Genome type,Quality level,Completeness,Contamination,Quality score,Phylum (gtdb),Class (gtdb),Order (gtdb),Family (gtdb),Genus (gtdb),Species (gtdb),Root compartment,is_novel,score_novelty,score_product,score_quality,score_function,priority_score
CRBC_G1661,CRBC_G1661_17_length_264916_cov_74.423083,ladderane;NRPS;NRPS-like,148740,253919,168740,169937,0,4,10,0,29,0,Maize,Isolate,High-quality,99.51456311,3.224687933,83.3911,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,Lentzea alba,Rhizoplane and endosphere,1,3.0,2.0,3.0,10.4,18.4
CRBC_G0052,CRBC_G0052_1_length_3056642_cov_195.674650,betalactone;T2PKS,2095145,2196464,2105145,2117034,0,8,8,0,26,2,Alfalfa,Isolate,High-quality,99.22279793,0.518134715,96.6321,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,unknown,Rhizoplane and endosphere,1,3.0,1.5,3.0,10.8,18.3
CRBC_G1459,CRBC_G1459_1_length_1136746_cov_47.425724,NRPS;NRPS-like;T1PKS;phosphonate,389356,519858,408529,411613,23,11,5,0,36,2,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,0,0.0,2.0,3.0,13.100000000000001,18.1
CRBC_G1182,CRBC_G1182_2_length_1136792_cov_71.373057,NRPS;NRPS-like;T1PKS;phosphonate,389402,519904,408575,411659,23,11,5,0,36,2,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,0,0.0,2.0,3.0,13.100000000000001,18.1
CRBC_G4352,CRBC_G4352_5_length_491842_cov_71.427023,NRPS,158105,255086,176386,193621,0,13,6,0,15,3,Wheat,Isolate,High-quality,99.31972789,2.441900205,87.1102,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia fusca,Rhizoplane and endosphere,1,3.0,2.0,3.0,10.0,18.0
CRBC_G6538,CRBC_G6538___k127_131615,NRPS;T1PKS;T3PKS;NRPS-like;terpene,36284,177323,56174,59399,87,5,14,0,36,3,Wheat,MAG,High-quality,94.83709273,4.754385965,71.0652,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,unknown,Rhizoplane and endosphere,0,0.0,2.0,2.5,13.4,17.9
CRBC_G6523,CRBC_G6523___k127_285996,NRPS;T1PKS;T3PKS;NRPS-like;terpene,126742,267212,146632,149857,87,5,14,0,36,3,Wheat,MAG,High-quality,93.86842105,4.912280702,69.307,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,unknown,Rhizoplane and endosphere,0,0.0,2.0,2.5,13.4,17.9
CRBC_G1216,CRBC_G1216_1_length_1234244_cov_92.750898,T2PKS,248648,321146,283648,286146,0,9,8,0,24,1,Maize,Isolate,High-quality,99.55974843,1.106918239,94.0252,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia asteroides,Rhizoplane and endosphere,1,3.0,1.0,3.0,10.8,17.8
CRBC_G0886,CRBC_G0886_24_length_136361_cov_48.286600,ladderane;T1PKS;T3PKS,8241,136361,28241,30497,239,10,5,0,37,1,Maize,Isolate,High-quality,100.0,1.26606198,93.6697,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,unknown,Rhizoplane and endosphere,0,0.0,1.5,3.0,12.9,17.4
CRBC_G1690,CRBC_G1690_2_length_1136745_cov_93.066906,NRPS;ladderane;PKS-like;T1PKS,978122,1079826,997710,1009712,0,6,7,0,24,0,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,9.3,17.3
CRBC_G1689,CRBC_G1689_2_length_1136745_cov_87.319751,NRPS;ladderane;PKS-like;T1PKS,978122,1079826,997710,1009712,0,6,7,0,24,0,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,9.3,17.3
CRBC_G4037,CRBC_G4037_13_length_213743_cov_80.754477,T2PKS;hglE-KS;T1PKS;NRPS;lanthipeptide-class-i;lanthipeptide-class-ii,0,134005,4099,6609,137,10,9,0,28,2,Wheat,Isolate,High-quality,99.89270386,0.0,99.8927,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albogriseolus,Rhizoplane and endosphere,0,0.0,2.0,3.0,12.3,17.3
CRBC_G1915,CRBC_G1915_1_length_636269_cov_29.544692,NRPS;T1PKS,159378,234624,179378,214624,0,13,2,0,16,1,Rice,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium_A,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,9.0,17.0
CRBC_G1182,CRBC_G1182_5_length_527957_cov_63.125201,NRPS;NRPS-like;T1PKS,313742,458729,332906,354442,0,7,5,0,23,2,Maize,Isolate,High-quality,99.02912621,1.282940361,92.6144,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.900000000000002,16.900000000000002
CRBC_G6631,CRBC_G6631___k127_1015912,NRPS;T1PKS;T3PKS;NRPS-like;terpene,34327,175366,54217,57442,87,5,14,0,36,3,Wheat,MAG,Medium-quality (QS>50),97.40726817,6.236842105,66.2231,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Actinoplanes,unknown,Rhizoplane and endosphere,0,0.0,2.0,1.5,13.4,16.9
CRBC_G2603,CRBC_G2603_1_length_822471_cov_145.647848,NRPS;T1PKS,523095,598708,543095,550142,0,14,1,0,14,0,Rice,Isolate,High-quality,99.57805907,0.105485232,99.0506,Proteobacteria,Alphaproteobacteria,Rhizobiales,Ancalomicrobiaceae,Prosthecomicrobium_A,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.700000000000001,16.700000000000003
CRBC_G1787,CRBC_G1787_3_length_503412_cov_108.861367,NRPS;transAT-PKS;NRPS-like;PKS-like,253218,376898,272443,284700,3,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,1.0,2.0,3.0,10.7,16.7
CRBC_G2348,CRBC_G2348_8_length_390869_cov_112.484989,NRPS-like;NRPS;T1PKS;LAP,235450,380226,255153,256944,194,9,13,0,21,3,Rice,Isolate,High-quality,100.0,1.842105263,90.7895,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Micromonospora,Micromonospora echinofusca,Rhizoplane and endosphere,0,0.0,2.0,3.0,11.7,16.7
CRBC_G1369,CRBC_G1369_4_length_503409_cov_59.704207,NRPS;transAT-PKS;NRPS-like;PKS-like,253215,376895,272440,284697,3,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,1.0,2.0,3.0,10.7,16.7
CRBC_G1786,CRBC_G1786_3_length_503413_cov_102.863469,NRPS;transAT-PKS;NRPS-like;PKS-like,253219,376899,272444,284701,3,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,1.0,2.0,3.0,10.7,16.7
CRBC_G1803,CRBC_G1803_4_length_503414_cov_114.006417,NRPS;transAT-PKS;NRPS-like;PKS-like,253220,376900,272445,284702,3,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,1.0,2.0,3.0,10.7,16.7
CRBC_G2643,CRBC_G2643_1_length_690706_cov_125.884468,NRPS;T1PKS;arylpolyene,433799,537510,453799,493112,0,8,5,0,20,4,Rice,Isolate,High-quality,100.0,0.583657588,97.0817,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium_A,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.7,16.7
CRBC_G1705,CRBC_G1705_1_length_1216509_cov_60.729578,T1PKS;NRPS,197301,326853,216347,253005,240,4,11,0,33,1,Maize,Isolate,High-quality,99.47089947,4.572940287,76.6062,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,unknown,Rhizoplane and endosphere,0,0.0,2.0,3.0,11.5,16.5
CRBC_G1428,CRBC_G1428_1_length_1216509_cov_77.400502,T1PKS;NRPS,197301,326853,216347,253005,240,4,11,0,33,1,Maize,Isolate,High-quality,99.47089947,4.572940287,76.6062,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,unknown,Rhizoplane and endosphere,0,0.0,2.0,3.0,11.5,16.5
CRBC_G0559,CRBC_G0559_7_length_351921_cov_100.820329,NRPS;T1PKS,127069,203424,147069,183424,0,9,5,0,16,1,Alfalfa,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella kummerowiae,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.3,16.3
CRBC_G1183,CRBC_G1183_1_length_1136746_cov_60.816002,NRPS;ladderane;PKS-like;T1PKS,978122,1079826,997710,1009712,0,6,7,0,24,0,Maize,Isolate,Medium-quality (QS>50),89.32038835,0.554785021,86.5465,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,2.0,9.3,16.3
CRBC_G4286,CRBC_G4286_18_length_157430_cov_52.328332,transAT-PKS;NRPS;PKS-like;ectoine,15405,157430,35405,76801,269,1,5,0,47,4,Wheat,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albogriseolus,Rhizoplane and endosphere,0,0.0,2.0,3.0,11.3,16.3
CRBC_G0850,CRBC_G0850_2_length_1077303_cov_94.534212,NRPS;terpene,614350,778662,634099,701997,0,10,1,0,20,1,Maize,Isolate,High-quality,99.05660377,1.603773585,91.0377,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.3,16.3
CRBC_G0468,CRBC_G0468_7_length_351921_cov_70.446624,NRPS;T1PKS,127069,203424,147069,183424,0,9,5,0,16,1,Alfalfa,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella kummerowiae,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.3,16.3
CRBC_G0079,CRBC_G0079_3_length_512241_cov_106.143169,NRPS;T1PKS,55361,131710,75361,111710,0,9,5,0,16,1,Alfalfa,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Shinella kummerowiae,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.3,16.3
CRBC_G0402,CRBC_G0402_2_length_693426_cov_215.630858,terpene;NRPS,244943,312416,254943,257091,0,9,4,0,17,0,Alfalfa,Isolate,High-quality,99.74093264,0.777202073,95.8549,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.2,16.2
CRBC_G0886,CRBC_G0886_1_length_1467345_cov_51.670881,NRPS;T1PKS,1065883,1172694,1085362,1110434,1,4,9,0,24,3,Maize,Isolate,High-quality,100.0,1.26606198,93.6697,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Nonomuraea,unknown,Rhizoplane and endosphere,0,2.0,2.0,3.0,9.100000000000001,16.1
CRBC_G4161,CRBC_G4161_18_length_150428_cov_88.349156,arylpolyene;other;NRPS-like;T1PKS;butyrolactone,24425,140103,44425,45568,21,4,5,0,40,1,Wheat,Isolate,High-quality,99.57746479,0.821596244,95.4695,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp001905665,Rhizoplane and endosphere,0,0.0,2.0,3.0,11.1,16.1
CRBC_G1672,CRBC_G1672_1_length_787035_cov_79.640254,other;NRPS;T1PKS,408092,522234,428092,434754,0,4,3,0,28,0,Maize,Isolate,High-quality,99.51456311,1.040221914,94.3135,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Lentzea,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.100000000000001,16.1
CRBC_G2111,CRBC_G2111_3_length_455687_cov_85.598938,NRPS;T1PKS,219078,294342,239078,274342,1,13,2,0,16,1,Rice,Isolate,High-quality,100.0,0.0,100.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium_A,unknown,Rhizoplane and endosphere,0,2.0,2.0,3.0,9.0,16.0
CRBC_G1380,CRBC_G1380_24_length_100016_cov_153.587244,T1PKS;NRPS;resorcinol,4281,91836,24281,40127,0,6,8,0,16,1,Maize,Isolate,High-quality,100.0,1.912568306,90.4372,Actinobacteriota,Actinomycetia,Mycobacteriales,Micromonosporaceae,Glycomyces,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,8.0,16.0
CRBC_G0005,CRBC_G0005_3_length_715945_cov_102.560253,NRPS-like,433155,475747,453155,455747,0,12,3,0,11,0,Alfalfa,Isolate,High-quality,99.61089494,0.012970169,99.546,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.900000000000001,15.900000000000002
CRBC_G1088,CRBC_G1088_14_length_215735_cov_47.266923,linaridin;NRPS-like;NRPS;ladderane,104410,197393,114410,115043,3,8,3,0,29,0,Maize,Isolate,High-quality,99.89270386,0.0,99.8927,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces capitiformicae,Rhizoplane and endosphere,0,1.0,2.0,3.0,9.9,15.9
CRBC_G1093,CRBC_G1093_15_length_215507_cov_52.944423,linaridin;NRPS-like;NRPS;ladderane,104410,197165,114410,115043,3,8,3,0,29,0,Maize,Isolate,High-quality,99.89270386,0.0,99.8927,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces capitiformicae,Rhizoplane and endosphere,0,1.0,2.0,3.0,9.9,15.9
CRBC_G1368,CRBC_G1368_23_length_126254_cov_69.539139,T2PKS;PKS-like;RRE-containing;T1PKS,34976,126254,69976,72465,136,13,5,0,23,1,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,1.5,3.0,11.3,15.8
CRBC_G4490,CRBC_G4490_5_length_285729_cov_73.393678,T2PKS;NRPS,206167,285729,241167,243665,120,10,6,0,25,1,Wheat,Isolate,High-quality,99.74842767,1.578616352,91.8553,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia rhizosphaerihabitans,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.8,15.8
CRBC_G1770,CRBC_G1770_22_length_126410_cov_70.381943,T1PKS;PKS-like;T2PKS;RRE-containing,0,91278,11796,27420,136,13,5,0,23,1,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,1.5,3.0,11.3,15.8
CRBC_G1803,CRBC_G1803_22_length_126410_cov_138.716519,T1PKS;PKS-like;T2PKS;RRE-containing,0,91278,11796,27420,136,13,5,0,23,1,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,1.5,3.0,11.3,15.8
CRBC_G1808,CRBC_G1808_23_length_126410_cov_109.269399,T2PKS;PKS-like;RRE-containing;T1PKS,35132,126410,70132,72621,136,13,5,0,23,1,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,1.5,3.0,11.3,15.8
CRBC_G1804,CRBC_G1804_25_length_126410_cov_129.052932,T1PKS;PKS-like;T2PKS;RRE-containing,0,91278,11796,27420,136,13,5,0,23,1,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,1.5,3.0,11.3,15.8
CRBC_G0974,CRBC_G0974_2_length_799290_cov_97.203106,NRPS,621156,665611,641156,645611,0,8,5,0,15,1,Maize,Isolate,High-quality,99.90583804,0.684814244,96.4818,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G2645,CRBC_G2645_2_length_496319_cov_134.870829,arylpolyene;NRPS;T1PKS,153196,256907,173196,174399,1,8,5,0,20,4,Rice,Isolate,High-quality,100.0,0.583657588,97.0817,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium_A,unknown,Rhizoplane and endosphere,0,2.0,2.0,3.0,8.7,15.7
CRBC_G0973,CRBC_G0973_2_length_799290_cov_105.225305,NRPS,621156,665611,641156,645611,0,8,5,0,15,1,Maize,Isolate,High-quality,99.90583804,0.684814244,96.4818,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G1242,CRBC_G1242_18_length_196499_cov_58.185636,T2PKS;thiopeptide;T1PKS;LAP;NRPS,0,134118,22082,24565,177,4,9,0,32,1,Maize,Isolate,High-quality,99.51456311,3.883495146,80.0971,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Actinosynnema,unknown,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.7,15.7
CRBC_G0950,CRBC_G0950_3_length_729726_cov_115.634010,T1PKS;NRPS,168456,261253,187954,194287,0,2,5,0,27,2,Maize,Isolate,High-quality,99.85849057,1.698113208,91.3679,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G2637,CRBC_G2637_1_length_607917_cov_134.821520,arylpolyene;NRPS;T1PKS,153196,256907,173196,174399,1,8,5,0,20,4,Rice,Isolate,High-quality,100.0,0.583657588,97.0817,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium_A,unknown,Rhizoplane and endosphere,0,2.0,2.0,3.0,8.7,15.7
CRBC_G0975,CRBC_G0975_2_length_799290_cov_107.457294,NRPS,621156,665611,641156,645611,0,8,5,0,15,1,Maize,Isolate,High-quality,99.90583804,0.684814244,96.4818,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G3946,CRBC_G3946_2_length_887159_cov_121.312133,NRPS,522548,567003,542548,547003,0,8,5,0,15,1,Wheat,Isolate,High-quality,99.62335217,0.282485876,98.2109,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium pusense,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G1807,CRBC_G1807_4_length_503412_cov_81.898960,PKS-like;transAT-PKS;NRPS-like;NRPS,126514,250969,146514,147783,47,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.7,15.7
CRBC_G1467,CRBC_G1467_1_length_3565663_cov_65.158474,T1PKS;NRPS,866294,959091,885792,892125,0,2,5,0,27,2,Maize,Isolate,High-quality,99.85849057,1.509433962,92.3113,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G1808,CRBC_G1808_2_length_503417_cov_86.609280,PKS-like;transAT-PKS;NRPS-like;NRPS,126514,250969,146514,147783,47,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.7,15.7
CRBC_G1771,CRBC_G1771_8_length_295215_cov_99.545111,NRPS;transAT-PKS;NRPS-like;PKS-like,45021,168701,64246,76503,47,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.7,15.7
CRBC_G1770,CRBC_G1770_3_length_503417_cov_71.151224,PKS-like;transAT-PKS;NRPS-like;NRPS,126514,250969,146514,147783,47,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.7,15.7
CRBC_G0838,CRBC_G0838_1_length_1434095_cov_76.956867,T1PKS;NRPS,468473,561772,486788,491075,0,2,5,0,27,2,Maize,Isolate,High-quality,99.85849057,1.698113208,91.3679,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Mycobacterium,unknown,Rhizoplane and endosphere,1,3.0,2.0,3.0,7.7,15.7
CRBC_G1804,CRBC_G1804_13_length_274070_cov_105.699430,PKS-like;transAT-PKS;NRPS-like;NRPS,126514,250969,146514,147783,47,9,7,0,25,3,Maize,Isolate,High-quality,100.0,0.0,100.0,Actinobacteriota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002939385,Rhizoplane and endosphere,0,0.0,2.0,3.0,10.7,15.7
